State,County,TotalPop
Oregon,Baker County,15980
Oregon,Benton County,88249
Oregon,Clackamas County,399962
Oregon,Clatsop County,38021
Oregon,Columbia County,50207
Oregon,Coos County,62921
Oregon,Crook County,21717
Oregon,Curry County,22377
Oregon,Deschutes County,175321
Oregon,Douglas County,107576
Oregon,Gilliam County,1910
Oregon,Grant County,7209
Oregon,Harney County,7195
Oregon,Hood River County,22938
Oregon,Jackson County,212070
Oregon,Jefferson County,22707
Oregon,Josephine County,84514
Oregon,Klamath County,66018
Oregon,Lake County,7807
Oregon,Lane County,363471
Oregon,Lincoln County,47307
Oregon,Linn County,121074
Oregon,Malheur County,30421
Oregon,Marion County,330453
Oregon,Morrow County,11153
Oregon,Multnomah County,788459
Oregon,Polk County,79666
Oregon,Sherman County,1635
Oregon,Tillamook County,25840
Oregon,Umatilla County,76736
Oregon,Union County,25810
Oregon,Wallowa County,6864
Oregon,Wasco County,25687
Oregon,Washington County,572071
Oregon,Wheeler County,1415
Oregon,Yamhill County,102366
